date,geo,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,revenue
2023-02-06,UK,335375.2,0,381854.6667,729038.5271,0,0,2754371.667
2023-02-13,UK,429201.8,0,0,165810.9955,147558.5773,124000,2584276.667
2023-02-20,UK,0,396835.2,13616,499547.7367,180661.7948,113600,2547386.667
2023-02-27,UK,1251754.6,0,530400,316492.9703,184021.0548,127600,2875220
2023-03-06,UK,0,832008,0,88022.69479,142008.72035,108400,2215953.333
2023-03-13,UK,498379.6,0,957669.3333,499020.8111,190308.87955,113200,2569921.667
2023-03-20,UK,10305.8,680260.8,0,411476.9582,181447.5689,111200,2171506.667
2023-03-27,UK,44283.4,0,707438.6667,565546.906,173825.54495,128000,2464131.667
2023-04-03,UK,0,0,0,357305.6364,140117.4075,91600,2012520
2023-04-10,UK,0,0,337317.3333,318612.6055,105348.69625,91600,1738911.667
2023-04-17,UK,247677.4,127432,0,0,140119.8865,82400,1772306.667
2023-04-24,UK,0,0,142906.6667,342496.5755,106616.65985,80800,1809058.333
2023-05-01,UK,994146.6,0,73452,151897.5902,0,0,1952740
2023-05-08,UK,0,0,0,0,0,0,1507805
2023-05-15,UK,623344.4,0,0,324584.6073,80338.3506,68800,1510391.667
2023-05-22,UK,0,0,495182.6667,0,144386.92085,84800,1588840
2023-05-29,UK,296586.6,131982.4,0,0,85326.1738,71200,1605990
2023-06-05,UK,0,0,0,0,105552.28675,68800,1356010
2023-06-12,UK,0,198265.6,407382.6667,802416.7946,91355.72695,76000,2103936.667
2023-06-19,UK,0,0,0,34391.78323,69548.28295,57200,1120835
2023-06-26,UK,0,199241.6,0,0,66648.8595,56000,1141140
2023-07-03,UK,166901,0,0,282493.641,85453.61665,53600,1166880
2023-07-10,UK,0,0,0,0,61573.3711,54000,888806.6667
2023-07-17,UK,0,0,375557.3333,0,55275.2174,38000,898873.3333
2023-07-24,UK,0,149873.6,0,0,66340.71355,42800,889373.3333
2023-07-31,UK,0,0,0,507559.6677,0,0,1915375
2023-08-07,UK,0,373328,0,0,0,0,1006845
2023-08-14,UK,0,0,0,0,68486.8128,40400,869198.3333
2023-08-21,UK,0,0,0,0,46654.980795,36000,727250
2023-08-28,UK,0,0,0,0,72199.71555,45600,753730
2023-09-04,UK,307085.8,371724.8,0,334549.6066,67130.92685,48800,999196.6667
2023-09-11,UK,0,0,0,0,55125.45755,45200,845843.3333
2023-09-18,UK,151815.2,0,155052,0,65004.87695,52400,1126016.667
2023-09-25,UK,0,0,0,0,87793.71095,57200,1140978.333
2023-10-02,UK,28506.2,958929.6,143420,337298.7287,63233.0514,42800,1242656.667
2023-10-09,UK,0,0,0,0,94349.16935,58400,1293483.333
2023-10-16,UK,422703.8,492651.2,0,536055.6139,102775.7755,68400,1484843.333
2023-10-23,UK,0,0,24233.33333,0,109565.28165,76000,1485698.333
2023-10-30,UK,429460.2,0,0,153739.4162,0,0,1556608.333
2023-11-06,UK,0,0,419392,116641.6653,0,0,1391206.667
2023-11-13,UK,359867.4,478937.6,0,0,137267.6968,92400,2018783.333
2023-11-20,UK,318927.6,263430.4,92441.33333,38798.70365,109055.63495,95200,2170721.667
2023-11-27,UK,0,480347.2,0,0,151982.49465,100000,2247670
2023-12-04,UK,0,98083.2,766098.6667,545640.9836,158488.40305,102000,2192026.667
2023-12-11,UK,0,487126.4,0,0,112100.59075,89200,1895213.333
2023-12-18,UK,2168049.6,365609.6,294394.6667,426795.3694,144700.6369,101200,2232910
2023-12-25,UK,0,0,321713.3333,460506.5717,188202.4339,119600,2406035
2024-01-01,UK,1220840.2,89387.2,0,614178.9242,183525.3105,111600,2252445
2024-01-08,UK,0,476737.6,280829.3333,639425.4026,157996.9767,122400,2663125
2024-01-15,UK,1409921.8,0,0,717655.9194,173299.6199,146800,2974771.667
2024-01-22,UK,0,427806.4,346314.6667,640333.1137,211119.9635,124800,2826128.333
2024-01-29,UK,784865.8,0,0,521995.7216,0,0,3182900
2024-02-05,UK,104355.8,435054.4,218792,804855.4989,0,0,2964696.667
2024-02-12,UK,0,0,124288,537367.535,369779.7816,286000,2848525
2024-02-19,UK,213816,717241.6,0,214699.2603,325619.93965,252000,2740160
2024-02-26,UK,0,0,0,294729.346,263844.30305,220400,2380508.333
2024-03-04,UK,0,1004760,0,141221.2469,238433.92135,206800,2230915
2024-03-11,UK,1615815.2,0,0,685370.495,389247.93,232000,3659425
2024-03-18,UK,615815.2,1361088,839944,581711.4021,290899.20765,221200,2827008.333
2024-03-25,UK,0,0,0,586716.7803,316069.82605,212400,2042143.333
2024-04-01,UK,88699.4,0,46069.33333,560394.7462,309563.1705,201200,2113358.333
2024-04-08,UK,0,0,323429.3333,867580.6244,306921.8677,210000,2179918.333
2024-04-15,UK,603674.4,0,0,600546.6993,340615.56435,216800,2370613.333
2024-04-22,UK,0,0,0,0,223013.83945,167600,1814556.667
2024-04-29,UK,0,383171.2,0,882051.7852,0,0,1951668.333
2024-05-06,UK,0,0,320730.6667,0,0,0,1918238.333
2024-05-13,UK,0,0,0,1426918.982,187696.0246,135200,1472390
2024-05-20,UK,0,0,420833.3333,0,232314.96605,140000,1477865
2024-05-27,UK,155413.2,0,0,0,205990.096,126400,1300166.667
2024-06-03,UK,0,0,595614.6667,0,149021.5926,113200,1160205
2024-06-10,UK,0,73428.8,0,311472.8042,229511.14965,144000,1356871.667
2024-06-17,UK,0,0,0,0,159879.00185,136800,1355833.333
2024-06-24,UK,0,1501084.8,0,0,127328.2433,110000,1176266.667
2024-07-01,UK,112035.8,0,0,0,136257.517,106400,1955281.667
2024-07-08,UK,0,888464,0,0,130707.30705,98000,1029928.333
2024-07-15,UK,549343.8,0,0,0,110900.19125,78000,2263143.333
2024-07-22,UK,0,919038.4,0,0,92628.07885,80400,813771.6667
2024-07-29,UK,0,0,0,0,0,0,880871.6667
2024-08-05,UK,0,123019.2,0,463421.0103,0,0,919185
2024-08-12,UK,0,0,215241.3333,0,92900.46455,65200,826321.6667
