parameter,mean,sd,median,q05,q95,rhat,ess_bulk,ess_tail
intercept,0.843296866036306,2.6964829241730516e-7,0.8432968554522342,0.8432964729872097,0.8432972445345006,2.081996174744455,3.8642466768414274,10.0
sigma,17.902949024856284,4.39483143490162,19.471599287448996,12.468424921448033,23.768768226939635,2.081996174744455,3.744190298994482,10.0
beta_media[1],0.9151860382610227,4.410583158542457e-7,0.9151858611028929,0.9151855570968069,0.9151866761955041,1.5820385661691807,5.501677184481811,10.0
beta_media[2],0.27550147667167063,4.026036765789027e-8,0.27550148043870243,0.2755014148472746,0.2755015272685566,1.2658090668974296,5.994105822109427,10.0
beta_media[3],0.16764268178532965,3.027542978266261e-8,0.1676426668947063,0.16764264892567587,0.16764272486531376,1.5820385661691807,4.747763655877646,10.0
beta_media[4],0.45492343599483015,3.021695111588072e-7,0.45492355036797866,0.4549230690312587,0.45492379482940104,2.081996174744455,3.915151914056346,10.0
beta_media[5],0.8108371513393205,2.3955184727397485e-7,0.8108371382884343,0.8108368126687591,0.8108375202298437,1.2128935480794145,5.356544517448903,10.0
beta_media[6],0.2403553183392198,1.357501217188857e-7,0.24035533638058068,0.24035509178060233,0.2403554733132489,2.081996174744455,4.012979596633799,10.0
alpha[1],0.2377437254567954,1.012735826508899e-7,0.23774369566678089,0.23774360191952834,0.23774386980299167,1.5820385661691807,4.214608402922279,10.0
alpha[2],0.4627072793908086,8.028696217427312e-8,0.462707300005698,0.4627071370001705,0.46270735303156063,1.3237400838407165,10.0,10.0
alpha[3],0.22739905730486978,7.525261918151013e-8,0.2273990673083089,0.2273989704790101,0.22739916772786606,0.9714491302073507,7.651875722408802,10.0
alpha[4],0.7732218463772379,7.992534813210562e-8,0.7732218253634172,0.7732217597973394,0.7732219629969419,1.7894277714570714,4.44506542581307,10.0
alpha[5],0.378536926334523,7.204543611726206e-8,0.37853691420950597,0.3785368386365747,0.3785370351052178,2.081996174744455,3.9014660088561186,10.0
alpha[6],0.7702673505725495,8.152899151873782e-8,0.7702673620411338,0.7702672559524224,0.7702674773566046,1.4286555871805375,9.855882326476346,10.0
lam[1],0.20804336928646153,1.254105148338155e-7,0.20804333714737883,0.2080432481420433,0.20804359116818488,1.7894277714570714,3.938510576872007,10.0
lam[2],0.4977421727385867,2.6421031929397824e-7,0.49774202350330077,0.49774191122388833,0.49774250340557674,1.7894277714570719,4.255210675103514,10.0
lam[3],2.2009312024999734,4.862568624627771e-7,2.2009312327662975,2.2009305719563454,2.200931807051883,1.0594462741330393,7.0324354880862,10.0
lam[4],2.555674034355801,5.797923261604924e-7,2.555674139516996,2.5556731196843483,2.555674741192488,1.138939905672073,7.5248978203657195,10.0
lam[5],4.659587903029606,1.6859929709910876e-6,4.659588526340402,4.659585869278603,4.6595896627132944,1.5820385661691807,4.594884858084664,10.0
lam[6],1.2805592766991192,6.09560847715544e-7,1.280559560666763,1.2805583212419922,1.280559824456098,1.5820385661691807,5.175092932073277,10.0
beta_seasonality[1],1.4454750154833635,4.1306897006876537e-7,1.4454749220847116,1.445474486277362,1.4454755955774234,2.081996174744455,3.7961954439842582,10.0
beta_seasonality[2],0.3515320460481143,3.8242899427687185e-7,0.3515320460528869,0.3515314152951379,0.35153247932781584,1.7894277714570714,4.229020949551372,10.0
beta_seasonality[3],0.07813938321007566,3.6535716852846786e-7,0.07813936513621181,0.07813888903658231,0.07813987677201176,1.0071955937034516,8.226503239681843,10.0
beta_seasonality[4],1.162599761870138,5.137467183793033e-7,1.1625995214434952,1.1625991415338428,1.1626004224847297,1.7894277714570714,4.162790481146393,10.0
