observation,date,residual
1,2023-02-06,2.754371182839394e6
2,2023-02-13,2.584271803588001e6
3,2023-02-20,2.547382980510576e6
4,2023-02-27,2.875222962729741e6
5,2023-03-06,2.2159539115546984e6
6,2023-03-13,2.5699168824232756e6
7,2023-03-20,2.171503160650877e6
8,2023-03-27,2.464134108854751e6
9,2023-04-03,2.012511910461559e6
10,2023-04-10,1.7389099536224888e6
11,2023-04-17,1.7723064730027455e6
12,2023-04-24,1.809042266837275e6
13,2023-05-01,1.952745666067234e6
14,2023-05-08,1.5078048342949627e6
15,2023-05-15,1.5103882782555223e6
16,2023-05-22,1.5888540554664207e6
17,2023-05-29,1.6059812747699611e6
18,2023-06-05,1.3560124390870284e6
19,2023-06-12,2.103928186090877e6
20,2023-06-19,1.120832551054243e6
21,2023-06-26,1.1411389004206394e6
22,2023-07-03,1.1668683452633016e6
23,2023-07-10,888798.907981115
24,2023-07-17,898878.7840690542
25,2023-07-24,889368.5586387636
26,2023-07-31,1.9153837922528312e6
27,2023-08-07,1.0068462934092884e6
28,2023-08-14,869187.6902298044
29,2023-08-21,727243.8268213551
30,2023-08-28,753737.5307877613
31,2023-09-04,999189.880875201
32,2023-09-11,845836.1378762367
33,2023-09-18,1.1260245108651293e6
34,2023-09-25,1.1409805624245568e6
35,2023-10-02,1.2426499046171135e6
36,2023-10-09,1.2934874082537973e6
37,2023-10-16,1.4848452763757776e6
38,2023-10-23,1.4856977033143486e6
39,2023-10-30,1.5566016196499667e6
40,2023-11-06,1.391197174717305e6
41,2023-11-13,2.018786251703711e6
42,2023-11-20,2.1707168696608664e6
43,2023-11-27,2.24767620540869e6
44,2023-12-04,2.192039086696531e6
45,2023-12-11,1.8952077048390452e6
46,2023-12-18,2.2329100913882027e6
47,2023-12-25,2.4060298334312527e6
48,2024-01-01,2.252425064286819e6
49,2024-01-08,2.663117833245022e6
50,2024-01-15,2.974771922840938e6
51,2024-01-22,2.8261254462709255e6
52,2024-01-29,3.182889955792062e6
53,2024-02-05,2.9646870238775457e6
54,2024-02-12,2.848521581517555e6
55,2024-02-19,2.74016440457156e6
56,2024-02-26,2.380500546759606e6
57,2024-03-04,2.230915992464458e6
58,2024-03-11,3.6594199643983133e6
59,2024-03-18,2.8270200755204377e6
60,2024-03-25,2.04214680966887e6
61,2024-04-01,2.1133573851313754e6
62,2024-04-08,2.179920334012544e6
63,2024-04-15,2.3706158588513774e6
64,2024-04-22,1.8145547044040938e6
65,2024-04-29,1.9516748472094403e6
66,2024-05-06,1.918230995068259e6
67,2024-05-13,1.472383283586062e6
68,2024-05-20,1.4778564050463405e6
69,2024-05-27,1.30016826223526e6
70,2024-06-03,1.160199959559062e6
71,2024-06-10,1.3568588373729035e6
72,2024-06-17,1.3558365140077153e6
73,2024-06-24,1.1762655452395242e6
74,2024-07-01,1.9552766296424977e6
75,2024-07-08,1.0299343769184278e6
76,2024-07-15,2.2631424219776755e6
77,2024-07-22,813763.7787171816
78,2024-07-29,880869.8574655757
79,2024-08-05,919189.5166990284
80,2024-08-12,826317.4447152055
81,2024-08-19,833786.6584161975
82,2024-08-26,746255.9819327696
83,2024-09-02,1.0363965284069406e6
84,2024-09-09,927935.9891397316
85,2024-09-16,1.126951065790338e6
86,2024-09-23,1.1842204813663012e6
87,2024-09-30,1.3155083442942288e6
88,2024-10-07,1.2793589252888442e6
89,2024-10-14,1.4558132347603703e6
90,2024-10-21,1.5533572671290147e6
91,2024-10-28,1.3748480558058694e6
92,2024-11-04,1.9701141387384662e6
93,2024-11-11,2.336423245024383e6
94,2024-11-18,2.0020701564151288e6
95,2024-11-25,2.027412899934867e6
96,2024-12-02,1.8865684191126188e6
97,2024-12-09,2.529716076092067e6
98,2024-12-16,2.3579256024081693e6
99,2024-12-23,3.003388970400778e6
100,2024-12-30,2.2836748110951735e6
101,2025-01-06,2.5847139825750887e6
102,2025-01-13,2.5653991046406534e6
103,2025-01-20,3.4070826315952996e6
104,2025-01-27,2.803282884344896e6
