observation,date,component,mean,lower_5,upper_95
1,2023-02-06,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
1,2023-02-06,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
1,2023-02-06,media:channel_2,0.0,0.0,0.0
1,2023-02-06,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
1,2023-02-06,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
1,2023-02-06,media:channel_5,0.0,0.0,0.0
1,2023-02-06,media:channel_6,0.0,0.0,0.0
1,2023-02-06,seasonality,1.5991982097909607,1.5991967128209965,1.5991991029122752
2,2023-02-13,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
2,2023-02-13,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
2,2023-02-13,media:channel_2,0.0,0.0,0.0
2,2023-02-13,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
2,2023-02-13,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
2,2023-02-13,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
2,2023-02-13,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
2,2023-02-13,seasonality,1.4665515480444378,1.466550160346519,1.4665523541494592
3,2023-02-20,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
3,2023-02-20,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
3,2023-02-20,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
3,2023-02-20,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
3,2023-02-20,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
3,2023-02-20,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
3,2023-02-20,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
3,2023-02-20,seasonality,1.2946272512965138,1.294626021724406,1.2946279383799237
4,2023-02-27,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
4,2023-02-27,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
4,2023-02-27,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
4,2023-02-27,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
4,2023-02-27,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
4,2023-02-27,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
4,2023-02-27,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
4,2023-02-27,seasonality,1.0981997001888744,1.0981986684597091,1.0982002847872177
5,2023-03-06,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
5,2023-03-06,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
5,2023-03-06,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
5,2023-03-06,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
5,2023-03-06,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
5,2023-03-06,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
5,2023-03-06,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
5,2023-03-06,seasonality,0.8927302490601118,0.8927294439145266,0.8927307314746997
6,2023-03-13,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
6,2023-03-13,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
6,2023-03-13,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
6,2023-03-13,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
6,2023-03-13,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
6,2023-03-13,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
6,2023-03-13,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
6,2023-03-13,seasonality,0.6934150612958072,0.6934144992852445,0.6934154314581128
7,2023-03-20,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
7,2023-03-20,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
7,2023-03-20,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
7,2023-03-20,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
7,2023-03-20,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
7,2023-03-20,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
7,2023-03-20,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
7,2023-03-20,seasonality,0.5142596511746707,0.5142593361393686,0.5142599170569124
8,2023-03-27,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
8,2023-03-27,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
8,2023-03-27,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
8,2023-03-27,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
8,2023-03-27,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
8,2023-03-27,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
8,2023-03-27,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
8,2023-03-27,seasonality,0.36723425052093683,0.3672340716581761,0.36723446089365164
9,2023-04-03,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
9,2023-04-03,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
9,2023-04-03,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
9,2023-04-03,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
9,2023-04-03,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
9,2023-04-03,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
9,2023-04-03,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
9,2023-04-03,seasonality,0.26155927794134703,0.26155903053431867,0.2615594591096188
10,2023-04-10,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
10,2023-04-10,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
10,2023-04-10,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
10,2023-04-10,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
10,2023-04-10,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
10,2023-04-10,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
10,2023-04-10,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
10,2023-04-10,seasonality,0.20316249592474458,0.2031622058908842,0.20316282476029002
11,2023-04-17,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
11,2023-04-17,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
11,2023-04-17,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
11,2023-04-17,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
11,2023-04-17,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
11,2023-04-17,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
11,2023-04-17,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
11,2023-04-17,seasonality,0.19433934328156416,0.19433903901715838,0.19433982127502403
12,2023-04-24,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
12,2023-04-24,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
12,2023-04-24,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
12,2023-04-24,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
12,2023-04-24,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
12,2023-04-24,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
12,2023-04-24,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
12,2023-04-24,seasonality,0.2336360128758518,0.23363570553599267,0.23363659607950057
13,2023-05-01,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
13,2023-05-01,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
13,2023-05-01,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
13,2023-05-01,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
13,2023-05-01,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
13,2023-05-01,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
13,2023-05-01,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
13,2023-05-01,seasonality,0.31596179799923463,0.3159615170733623,0.31596243971762383
14,2023-05-08,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
14,2023-05-08,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
14,2023-05-08,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
14,2023-05-08,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
14,2023-05-08,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
14,2023-05-08,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
14,2023-05-08,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
14,2023-05-08,seasonality,0.4329238108640685,0.4329235216686652,0.43292446453808536
15,2023-05-15,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
15,2023-05-15,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
15,2023-05-15,media:channel_2,0.0,0.0,0.0
15,2023-05-15,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
15,2023-05-15,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
15,2023-05-15,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
15,2023-05-15,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
15,2023-05-15,seasonality,0.5733641608596455,0.5733637761241303,0.5733647828918123
16,2023-05-22,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
16,2023-05-22,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
16,2023-05-22,media:channel_2,0.0,0.0,0.0
16,2023-05-22,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
16,2023-05-22,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
16,2023-05-22,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
16,2023-05-22,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
16,2023-05-22,seasonality,0.724067822320594,0.7240673465833263,0.724068374698196
17,2023-05-29,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
17,2023-05-29,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
17,2023-05-29,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
17,2023-05-29,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
17,2023-05-29,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
17,2023-05-29,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
17,2023-05-29,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
17,2023-05-29,seasonality,0.8705994085386143,0.8705988504698496,0.8705999565123883
18,2023-06-05,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
18,2023-06-05,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
18,2023-06-05,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
18,2023-06-05,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
18,2023-06-05,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
18,2023-06-05,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
18,2023-06-05,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
18,2023-06-05,seasonality,0.9982194808968206,0.9982188530703799,0.9982200297392927
19,2023-06-12,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
19,2023-06-12,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
19,2023-06-12,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
19,2023-06-12,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
19,2023-06-12,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
19,2023-06-12,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
19,2023-06-12,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
19,2023-06-12,seasonality,1.0928262994322617,1.0928256178841773,1.0928269277043468
20,2023-06-19,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
20,2023-06-19,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
20,2023-06-19,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
20,2023-06-19,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
20,2023-06-19,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
20,2023-06-19,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
20,2023-06-19,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
20,2023-06-19,seasonality,1.141867338336906,1.1418666143224467,1.141868050899821
21,2023-06-26,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
21,2023-06-26,media:channel_1,0.0,0.0,0.0
21,2023-06-26,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
21,2023-06-26,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
21,2023-06-26,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
21,2023-06-26,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
21,2023-06-26,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
21,2023-06-26,seasonality,1.1351665399062685,1.1351657872947896,1.1351673226685677
22,2023-07-03,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
22,2023-07-03,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
22,2023-07-03,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
22,2023-07-03,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
22,2023-07-03,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
22,2023-07-03,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
22,2023-07-03,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
22,2023-07-03,seasonality,1.0656180693771,1.065617309998165,1.0656188879582857
23,2023-07-10,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
23,2023-07-10,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
23,2023-07-10,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
23,2023-07-10,media:channel_3,0.0,0.0,0.0
23,2023-07-10,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
23,2023-07-10,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
23,2023-07-10,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
23,2023-07-10,seasonality,0.9297049856206137,0.9297042420624211,0.9297058006543042
24,2023-07-17,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
24,2023-07-17,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
24,2023-07-17,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
24,2023-07-17,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
24,2023-07-17,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
24,2023-07-17,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
24,2023-07-17,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
24,2023-07-17,seasonality,0.7278113178334721,0.727810612446709,0.7278120871255072
25,2023-07-24,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
25,2023-07-24,media:channel_1,0.9151860382610227,0.9151855570968069,0.9151866761955041
25,2023-07-24,media:channel_2,0.27550147667167063,0.2755014148472746,0.2755015272685566
25,2023-07-24,media:channel_3,0.16764268178532965,0.16764264892567587,0.16764272486531376
25,2023-07-24,media:channel_4,0.45492343599483015,0.4549230690312587,0.45492379482940104
25,2023-07-24,media:channel_5,0.8108371513393205,0.8108368126687591,0.8108375202298437
25,2023-07-24,media:channel_6,0.2403553183392198,0.24035509178060233,0.2403554733132489
25,2023-07-24,seasonality,0.46430795509134565,0.4643073089969659,0.4643086359850329
26,2023-07-31,intercept,0.843296866036306,0.8432964729872097,0.8432972445345006
26,2023-07-31,media:channel_1,0.0,0.0,0.0
