feature,mode,holiday,country,date,year
holiday,auto,Neujahr,DE,1995-01-01,1995
holiday,auto,Karfreitag,DE,1995-04-14,1995
holiday,auto,Ostermontag,DE,1995-04-17,1995
holiday,auto,Erster Mai,DE,1995-05-01,1995
holiday,auto,Christi Himmelfahrt,DE,1995-05-25,1995
holiday,auto,Pfingstmontag,DE,1995-06-05,1995
holiday,auto,Tag der Deutschen Einheit,DE,1995-10-03,1995
holiday,auto,Erster Weihnachtstag,DE,1995-12-25,1995
holiday,auto,Zweiter Weihnachtstag,DE,1995-12-26,1995
holiday,auto,Neujahr,DE,1996-01-01,1996
holiday,auto,Karfreitag,DE,1996-04-05,1996
holiday,auto,Ostermontag,DE,1996-04-08,1996
holiday,auto,Erster Mai,DE,1996-05-01,1996
holiday,auto,Christi Himmelfahrt,DE,1996-05-16,1996
holiday,auto,Pfingstmontag,DE,1996-05-27,1996
holiday,auto,Tag der Deutschen Einheit,DE,1996-10-03,1996
holiday,auto,Erster Weihnachtstag,DE,1996-12-25,1996
holiday,auto,Zweiter Weihnachtstag,DE,1996-12-26,1996
holiday,auto,Neujahr,DE,1997-01-01,1997
holiday,auto,Karfreitag,DE,1997-03-28,1997
holiday,auto,Ostermontag,DE,1997-03-31,1997
holiday,auto,Erster Mai,DE,1997-05-01,1997
holiday,auto,Christi Himmelfahrt,DE,1997-05-08,1997
holiday,auto,Pfingstmontag,DE,1997-05-19,1997
holiday,auto,Tag der Deutschen Einheit,DE,1997-10-03,1997
holiday,auto,Erster Weihnachtstag,DE,1997-12-25,1997
holiday,auto,Zweiter Weihnachtstag,DE,1997-12-26,1997
holiday,auto,Neujahr,DE,1998-01-01,1998
holiday,auto,Karfreitag,DE,1998-04-10,1998
holiday,auto,Ostermontag,DE,1998-04-13,1998
holiday,auto,Erster Mai,DE,1998-05-01,1998
holiday,auto,Christi Himmelfahrt,DE,1998-05-21,1998
holiday,auto,Pfingstmontag,DE,1998-06-01,1998
holiday,auto,Tag der Deutschen Einheit,DE,1998-10-03,1998
holiday,auto,Erster Weihnachtstag,DE,1998-12-25,1998
holiday,auto,Zweiter Weihnachtstag,DE,1998-12-26,1998
holiday,auto,Neujahr,DE,1999-01-01,1999
holiday,auto,Karfreitag,DE,1999-04-02,1999
holiday,auto,Ostermontag,DE,1999-04-05,1999
holiday,auto,Erster Mai,DE,1999-05-01,1999
holiday,auto,Christi Himmelfahrt,DE,1999-05-13,1999
holiday,auto,Pfingstmontag,DE,1999-05-24,1999
holiday,auto,Tag der Deutschen Einheit,DE,1999-10-03,1999
holiday,auto,Erster Weihnachtstag,DE,1999-12-25,1999
holiday,auto,Zweiter Weihnachtstag,DE,1999-12-26,1999
holiday,auto,Neujahr,DE,2000-01-01,2000
holiday,auto,Karfreitag,DE,2000-04-21,2000
holiday,auto,Ostermontag,DE,2000-04-24,2000
holiday,auto,Erster Mai,DE,2000-05-01,2000
holiday,auto,Christi Himmelfahrt,DE,2000-06-01,2000
holiday,auto,Pfingstmontag,DE,2000-06-12,2000
holiday,auto,Tag der Deutschen Einheit,DE,2000-10-03,2000
holiday,auto,Erster Weihnachtstag,DE,2000-12-25,2000
holiday,auto,Zweiter Weihnachtstag,DE,2000-12-26,2000
holiday,auto,Neujahr,DE,2001-01-01,2001
holiday,auto,Karfreitag,DE,2001-04-13,2001
holiday,auto,Ostermontag,DE,2001-04-16,2001
holiday,auto,Erster Mai,DE,2001-05-01,2001
holiday,auto,Christi Himmelfahrt,DE,2001-05-24,2001
holiday,auto,Pfingstmontag,DE,2001-06-04,2001
holiday,auto,Tag der Deutschen Einheit,DE,2001-10-03,2001
holiday,auto,Erster Weihnachtstag,DE,2001-12-25,2001
holiday,auto,Zweiter Weihnachtstag,DE,2001-12-26,2001
holiday,auto,Neujahr,DE,2002-01-01,2002
holiday,auto,Karfreitag,DE,2002-03-29,2002
holiday,auto,Ostermontag,DE,2002-04-01,2002
holiday,auto,Erster Mai,DE,2002-05-01,2002
holiday,auto,Christi Himmelfahrt,DE,2002-05-09,2002
holiday,auto,Pfingstmontag,DE,2002-05-20,2002
holiday,auto,Tag der Deutschen Einheit,DE,2002-10-03,2002
holiday,auto,Erster Weihnachtstag,DE,2002-12-25,2002
holiday,auto,Zweiter Weihnachtstag,DE,2002-12-26,2002
holiday,auto,Neujahr,DE,2003-01-01,2003
holiday,auto,Karfreitag,DE,2003-04-18,2003
holiday,auto,Ostermontag,DE,2003-04-21,2003
holiday,auto,Erster Mai,DE,2003-05-01,2003
holiday,auto,Christi Himmelfahrt,DE,2003-05-29,2003
holiday,auto,Pfingstmontag,DE,2003-06-09,2003
holiday,auto,Tag der Deutschen Einheit,DE,2003-10-03,2003
holiday,auto,Erster Weihnachtstag,DE,2003-12-25,2003
holiday,auto,Zweiter Weihnachtstag,DE,2003-12-26,2003
holiday,auto,Neujahr,DE,2004-01-01,2004
holiday,auto,Karfreitag,DE,2004-04-09,2004
holiday,auto,Ostermontag,DE,2004-04-12,2004
holiday,auto,Erster Mai,DE,2004-05-01,2004
holiday,auto,Christi Himmelfahrt,DE,2004-05-20,2004
holiday,auto,Pfingstmontag,DE,2004-05-31,2004
holiday,auto,Tag der Deutschen Einheit,DE,2004-10-03,2004
holiday,auto,Erster Weihnachtstag,DE,2004-12-25,2004
holiday,auto,Zweiter Weihnachtstag,DE,2004-12-26,2004
holiday,auto,Neujahr,DE,2005-01-01,2005
holiday,auto,Karfreitag,DE,2005-03-25,2005
holiday,auto,Ostermontag,DE,2005-03-28,2005
holiday,auto,Erster Mai,DE,2005-05-01,2005
holiday,auto,Christi Himmelfahrt,DE,2005-05-05,2005
holiday,auto,Pfingstmontag,DE,2005-05-16,2005
holiday,auto,Tag der Deutschen Einheit,DE,2005-10-03,2005
holiday,auto,Erster Weihnachtstag,DE,2005-12-25,2005
holiday,auto,Zweiter Weihnachtstag,DE,2005-12-26,2005
holiday,auto,Neujahr,DE,2006-01-01,2006
holiday,auto,Karfreitag,DE,2006-04-14,2006
holiday,auto,Ostermontag,DE,2006-04-17,2006
holiday,auto,Erster Mai,DE,2006-05-01,2006
holiday,auto,Christi Himmelfahrt,DE,2006-05-25,2006
holiday,auto,Pfingstmontag,DE,2006-06-05,2006
holiday,auto,Tag der Deutschen Einheit,DE,2006-10-03,2006
holiday,auto,Erster Weihnachtstag,DE,2006-12-25,2006
holiday,auto,Zweiter Weihnachtstag,DE,2006-12-26,2006
holiday,auto,Neujahr,DE,2007-01-01,2007
holiday,auto,Karfreitag,DE,2007-04-06,2007
holiday,auto,Ostermontag,DE,2007-04-09,2007
holiday,auto,Erster Mai,DE,2007-05-01,2007
holiday,auto,Christi Himmelfahrt,DE,2007-05-17,2007
holiday,auto,Pfingstmontag,DE,2007-05-28,2007
holiday,auto,Tag der Deutschen Einheit,DE,2007-10-03,2007
holiday,auto,Erster Weihnachtstag,DE,2007-12-25,2007
holiday,auto,Zweiter Weihnachtstag,DE,2007-12-26,2007
holiday,auto,Neujahr,DE,2008-01-01,2008
holiday,auto,Karfreitag,DE,2008-03-21,2008
holiday,auto,Ostermontag,DE,2008-03-24,2008
holiday,auto,Christi Himmelfahrt,DE,2008-05-01,2008
holiday,auto,Erster Mai,DE,2008-05-01,2008
holiday,auto,Pfingstmontag,DE,2008-05-12,2008
holiday,auto,Tag der Deutschen Einheit,DE,2008-10-03,2008
holiday,auto,Erster Weihnachtstag,DE,2008-12-25,2008
holiday,auto,Zweiter Weihnachtstag,DE,2008-12-26,2008
holiday,auto,Neujahr,DE,2009-01-01,2009
holiday,auto,Karfreitag,DE,2009-04-10,2009
holiday,auto,Ostermontag,DE,2009-04-13,2009
holiday,auto,Erster Mai,DE,2009-05-01,2009
holiday,auto,Christi Himmelfahrt,DE,2009-05-21,2009
holiday,auto,Pfingstmontag,DE,2009-06-01,2009
holiday,auto,Tag der Deutschen Einheit,DE,2009-10-03,2009
holiday,auto,Erster Weihnachtstag,DE,2009-12-25,2009
holiday,auto,Zweiter Weihnachtstag,DE,2009-12-26,2009
holiday,auto,Neujahr,DE,2010-01-01,2010
holiday,auto,Karfreitag,DE,2010-04-02,2010
holiday,auto,Ostermontag,DE,2010-04-05,2010
