parameter,mean,sd,median,q05,q95,rhat,ess_bulk,ess_tail
intercept[1],0.4058495277262683,0.019648278195430795,0.40858655307181746,0.37022659839441674,0.4362494326074614,1.0041654212250606,290.2740168664473,417.6270826190882
intercept[2],0.4110841710813983,0.019553861849310766,0.41233844464472946,0.3794583119434481,0.4419036506454558,0.9974962975424,318.2748232023483,371.7076859140976
intercept[3],0.4064827919598721,0.018266689125233406,0.40733046706001813,0.3757392377879164,0.437174098318604,1.0019385001238659,364.7426270127286,357.41581090233694
sigma[1],0.07234369335717813,0.005175829810262238,0.07185273547598311,0.06461596341357836,0.08096491189636464,0.9979161059588408,1046.2568428905784,446.2956063630187
sigma[2],0.07258236956960287,0.005075490742925075,0.072264167991414,0.06483752419511721,0.08117288130599054,0.9994701849641658,653.686071166294,301.87133954472085
sigma[3],0.07279902924254206,0.005215980617920344,0.07245977778597029,0.06474195657747664,0.08213217177074046,1.0009491291409947,588.5233329981528,338.8116582736595
beta_media[1],0.13233972562457008,0.03765459365788816,0.129971596757126,0.0780273827409401,0.195655500394356,1.00380311013969,249.17836056327118,184.01434542540352
beta_media[2],0.25148244581887147,0.29453813016958225,0.12820305457492998,0.02049205611279554,0.9299036401984554,1.014332237174317,279.40314725860105,262.3446100694253
beta_media[3],0.3283649964687532,0.32260953318675195,0.22079860634894322,0.02763480117242577,0.9489897535418274,1.0006299808682282,201.69682483594107,183.88865363349086
beta_media[4],0.3567978117597372,0.28524400114071813,0.26611373828371493,0.07319723260003669,0.9099801400457863,1.0065180900806832,240.63958277468726,439.65768447424585
beta_media[5],0.24200417605387367,0.2944947656392145,0.11783413702343395,0.009365572200243172,0.8289992084577641,1.0068457139418814,215.56559747592763,326.5585939258196
beta_media[6],0.25515253373957114,0.3129068371294799,0.13783398566588972,0.01374712524409695,0.8762954542545007,1.0041033625677556,317.3414830613954,430.97727748534516
beta_media[7],0.13251838333324215,0.04054037282319058,0.12813223819649738,0.0775608385261379,0.1981204096301802,1.0015372982114588,279.5994070260466,211.02210098610675
beta_media[8],0.2095952085469164,0.27120321054547064,0.10203137539001333,0.006539978679586455,0.7891118271498543,1.001810624318117,166.62921528647473,194.51530558644538
beta_media[9],0.3224513145597973,0.33445636435200565,0.20823440785490405,0.029194485670236955,0.9413387702456998,1.012199748470722,226.29939847629345,259.3264358168218
beta_media[10],0.3403956392089503,0.270430071124894,0.26734937772015976,0.06887769742989892,0.8926456492484165,1.0030736527360093,160.92910050553104,292.2615507866848
beta_media[11],0.20896730935806085,0.2583988560352839,0.10554137390394755,0.005865777748403132,0.7284404296477487,1.0237544901437956,261.96170518683493,324.32374808320554
