observation,date,panel,geo,residual
1,2023-02-06,UK,UK,92664.50449259253
2,2023-02-13,UK,UK,-36644.6204302283
3,2023-02-20,UK,UK,37288.72860796191
4,2023-02-27,UK,UK,-20916.20676385099
5,2023-03-06,UK,UK,-209000.06252540182
6,2023-03-13,UK,UK,-81499.80351639632
7,2023-03-20,UK,UK,-167445.4804942878
8,2023-03-27,UK,UK,104361.59447103646
9,2023-04-03,UK,UK,31705.24305236223
10,2023-04-10,UK,UK,-167332.26774223358
11,2023-04-17,UK,UK,-105964.37419647095
12,2023-04-24,UK,UK,5228.298045798438
13,2023-05-01,UK,UK,62033.727336695185
14,2023-05-08,UK,UK,-31833.663897709223
15,2023-05-15,UK,UK,-303153.2559897993
16,2023-05-22,UK,UK,31412.673307153396
17,2023-05-29,UK,UK,165618.87451759027
18,2023-06-05,UK,UK,25163.02171718981
19,2023-06-12,UK,UK,542860.6473923188
20,2023-06-19,UK,UK,-137372.7733200984
21,2023-06-26,UK,UK,-39088.044054049766
22,2023-07-03,UK,UK,-126777.16642329609
23,2023-07-10,UK,UK,-109925.35461991688
24,2023-07-17,UK,UK,-207590.48471894
25,2023-07-24,UK,UK,-140701.54529695527
26,2023-07-31,UK,UK,849877.4948254193
27,2023-08-07,UK,UK,124767.53233920166
28,2023-08-14,UK,UK,-47885.93053199432
29,2023-08-21,UK,UK,-155155.21804888092
30,2023-08-28,UK,UK,-48916.43520975846
31,2023-09-04,UK,UK,-200532.8461061702
32,2023-09-11,UK,UK,-109028.55724241596
33,2023-09-18,UK,UK,66428.11016075592
34,2023-09-25,UK,UK,138852.75289304357
35,2023-10-02,UK,UK,-24536.558931686217
36,2023-10-09,UK,UK,126233.02577345422
37,2023-10-16,UK,UK,-131625.80671482603
38,2023-10-23,UK,UK,119923.74008067884
39,2023-10-30,UK,UK,-29887.362037393264
40,2023-11-06,UK,UK,-171740.5973700597
41,2023-11-13,UK,UK,190094.6212793782
42,2023-11-20,UK,UK,246470.8127423171
43,2023-11-27,UK,UK,445035.1300093082
44,2023-12-04,UK,UK,-49782.63425096031
45,2023-12-11,UK,UK,-201207.85769077367
46,2023-12-18,UK,UK,-574755.9641518099
47,2023-12-25,UK,UK,27299.152767380234
48,2024-01-01,UK,UK,-444371.4779861341
49,2024-01-08,UK,UK,-33351.242108971346
50,2024-01-15,UK,UK,-37926.35802258784
51,2024-01-22,UK,UK,22930.72048757784
52,2024-01-29,UK,UK,368265.538116748
53,2024-02-05,UK,UK,238373.64303202974
54,2024-02-12,UK,UK,206984.07731091836
55,2024-02-19,UK,UK,64286.04963373346
56,2024-02-26,UK,UK,-62372.92252238514
57,2024-03-04,UK,UK,-187369.85501897288
58,2024-03-11,UK,UK,869314.5545956856
59,2024-03-18,UK,UK,-90888.10024590977
60,2024-03-25,UK,UK,-281830.34682760714
61,2024-04-01,UK,UK,-51145.42856796831
62,2024-04-08,UK,UK,-58639.871537685394
63,2024-04-15,UK,UK,62286.82324300194
64,2024-04-22,UK,UK,32305.280621999642
65,2024-04-29,UK,UK,96057.55792310694
66,2024-05-06,UK,UK,396633.33955972944
67,2024-05-13,UK,UK,-406663.84757979447
68,2024-05-20,UK,UK,-141973.99502843712
69,2024-05-27,UK,UK,-119843.04386700131
70,2024-06-03,UK,UK,-326327.019982466
71,2024-06-10,UK,UK,-69792.17393192509
72,2024-06-17,UK,UK,103841.06437581824
73,2024-06-24,UK,UK,-201971.81365556433
74,2024-07-01,UK,UK,672501.6533292702
75,2024-07-08,UK,UK,-119317.86073614482
