parameter,rhat,ess_bulk,ess_tail,mcse_mean
alpha[10],1.0005686544811667,553.9299635636373,288.47850907014174,0.007061491978081291
alpha[11],1.007484377337227,1078.2330674571547,405.2067864369247,0.006120261493488177
alpha[12],1.0075239633464164,436.2562558478939,391.9819522265451,0.008753828473314166
alpha[13],1.0145385744647517,557.0559771806153,258.63202496402545,0.003611592772531922
alpha[14],1.005516423809451,501.8417005277488,401.11424773428246,0.008381950096650562
alpha[15],0.9982978392731013,546.7042850195371,173.46144730899897,0.005234677878654377
alpha[16],1.0136594861167159,649.044743748086,460.70947617846815,0.004958076453463732
alpha[17],1.0020724127095773,696.96994787738,250.40729491619095,0.0059948620816197
alpha[18],1.0022424764381337,617.3318473395764,334.0641812675316,0.007699446619181782
alpha[1],1.0181092052510605,177.5925453405418,120.20207280094694,0.005705897056296546
alpha[2],1.0090294683001964,439.77581726020753,134.37032025306252,0.008229292927226935
alpha[3],1.001932975099879,624.8303012430662,245.97230199530418,0.004919640905565255
alpha[4],1.0073223740241923,465.6222200302821,230.59634925541417,0.004894038634211142
alpha[5],1.001082069316004,372.2821119521108,212.23502817861285,0.008778450968287575
alpha[6],1.0006369818456728,538.2202324177206,231.9002360732462,0.006479105947289177
alpha[7],1.0061001513484484,643.1047334601498,326.54798048325557,0.0033443792346689915
alpha[8],1.001700557716238,747.0633736050291,366.197043249834,0.007171583795077044
alpha[9],1.002505511393243,788.5427599507465,382.68186973209316,0.0042104668357772325
beta_holidays[1],1.0034639794201223,397.2097577143326,213.50582220912415,0.003237074486555297
beta_media[10],1.0030736527360093,160.92910050553104,292.2615507866848,0.019749443764632647
beta_media[11],1.0237544901437956,261.96170518683493,324.32374808320554,0.012848676233292139
beta_media[12],1.0022227472942604,322.36478666469213,407.81098106502867,0.014274438340070424
beta_media[13],1.0055535428959006,323.69653497063047,237.38718758834892,0.0021708477733894324
beta_media[14],1.0314814670427157,166.22208102672852,197.4283087069168,0.020188472192665258
beta_media[15],0.9981306013761165,221.57828255820255,311.798830695011,0.016993359574701116
beta_media[16],1.0006757582397319,168.55104486222544,314.80836712680406,0.02042400684196269
beta_media[17],1.0360902634398543,104.96094441707574,298.0740245970742,0.015141369101219892
beta_media[18],1.002763091389224,257.3561190581157,218.97979056717108,0.013750899051224105
beta_media[1],1.00380311013969,249.17836056327118,184.01434542540352,0.0025232752866699813
beta_media[2],1.014332237174317,279.40314725860105,262.3446100694253,0.016059208452194863
beta_media[3],1.0006299808682282,201.69682483594107,183.88865363349086,0.01849668806825771
beta_media[4],1.0065180900806832,240.63958277468726,439.65768447424585,0.017344597918338565
beta_media[5],1.0068457139418814,215.56559747592763,326.5585939258196,0.020223600031963468
beta_media[6],1.0041033625677556,317.3414830613954,430.97727748534516,0.016068443432574762
beta_media[7],1.0015372982114588,279.5994070260466,211.02210098610675,0.002822591265817215
beta_media[8],1.001810624318117,166.62921528647473,194.51530558644538,0.016655095130847092
beta_media[9],1.012199748470722,226.29939847629345,259.3264358168218,0.019822655010572312
beta_seasonality[10],1.00282662816012,632.7075969689171,372.42645073748207,0.0004506727739661539
beta_seasonality[11],1.0010284074009865,445.217158157679,353.4764440417233,0.0006210281493034948
beta_seasonality[12],1.0247297305597178,979.5693334530625,339.1326253600675,0.0003456628231455658
beta_seasonality[1],1.0037093710922558,714.5298875812211,334.44770784087785,0.00047371374833047334
beta_seasonality[2],1.0053010462098229,579.4249318185325,346.6698388983515,0.00043772929832503865
beta_seasonality[3],1.009376300266914,318.12629889944225,221.55924236827067,0.0008130730910981309
beta_seasonality[4],1.002688153375259,760.567131616304,410.1191967153554,0.0003660052181300615
beta_seasonality[5],1.0028286004717621,497.88634219581036,358.6716131894493,0.0005232215844223761
beta_seasonality[6],1.000366345720583,873.8468652419735,417.9011576324637,0.00034645433350957147
beta_seasonality[7],0.9988781127219081,413.01587244625273,285.8291502792844,0.0006993112696189777
beta_seasonality[8],1.0022073075951863,895.9545367463413,334.400636332014,0.0003254180202553776
beta_seasonality[9],0.9967970019810082,623.4299956283268,516.7290143529129,0.0004781039825764179
intercept[1],1.0041654212250606,290.2740168664473,417.6270826190882,0.0011854471467403174
intercept[2],0.9974962975424,318.2748232023483,371.7076859140976,0.0011013782936017459
intercept[3],1.0019385001238659,364.7426270127286,357.41581090233694,0.0009530473935400399
lam[1],1.0053692000718195,244.4789452687738,131.10813978060236,0.10000621671577727
lam[2],1.0255755907351125,145.579783869692,178.5207576655523,0.13431057537447802
lam[3],1.0002248312352389,209.65996946882757,411.46877429072043,0.052436335385615034
lam[4],1.002285744665241,187.02289972273917,402.6702598162947,0.06273242864104299
lam[5],1.026766750101788,131.000390562071,441.6053486139186,0.05310308564428953
lam[6],1.0015447321857451,284.7661595064028,373.83139266922365,0.040422401616429654
sigma[1],0.9979161059588408,1046.2568428905784,446.2956063630187,0.0001618255713350601
sigma[2],0.9994701849641658,653.686071166294,301.87133954472085,0.00019475225237523732
sigma[3],1.0009491291409947,588.5233329981528,338.8116582736595,0.00021884328191171034
