curve_family,panel_cell,geo,channel,delta,spend,observed_total_spend,mean,lower,upper
adstock,UK,UK,channel_1,0.0,0.0,2.52853822e7,0.0,0.0,0.0
adstock,UK,UK,channel_1,0.020202020202020204,510815.80202020204,2.52853822e7,599803.8819417901,515080.335977222,739200.5470355806
adstock,UK,UK,channel_1,0.04040404040404041,1.0216316040404041e6,2.52853822e7,1.1996077638835802e6,1.030160671954444e6,1.4784010940711612e6
adstock,UK,UK,channel_1,0.06060606060606061,1.532447406060606e6,2.52853822e7,1.7994116458253702e6,1.5452410079316655e6,2.217601641106741e6
adstock,UK,UK,channel_1,0.08080808080808081,2.0432632080808082e6,2.52853822e7,2.3992155277671604e6,2.060321343908888e6,2.9568021881423225e6
adstock,UK,UK,channel_1,0.10101010101010101,2.55407901010101e6,2.52853822e7,2.99901940970895e6,2.5754016798861087e6,3.6960027351779025e6
adstock,UK,UK,channel_1,0.12121212121212122,3.064894812121212e6,2.52853822e7,3.5988232916507404e6,3.090482015863331e6,4.435203282213482e6
adstock,UK,UK,channel_1,0.1414141414141414,3.575710614141414e6,2.52853822e7,4.19862717359253e6,3.605562351840553e6,5.174403829249064e6
adstock,UK,UK,channel_1,0.16161616161616163,4.0865264161616163e6,2.52853822e7,4.798431055534321e6,4.120642687817776e6,5.913604376284645e6
adstock,UK,UK,channel_1,0.18181818181818182,4.597342218181818e6,2.52853822e7,5.398234937476111e6,4.635723023794996e6,6.6528049233202245e6
adstock,UK,UK,channel_1,0.20202020202020202,5.10815802020202e6,2.52853822e7,5.9980388194179e6,5.150803359772217e6,7.392005470355805e6
adstock,UK,UK,channel_1,0.2222222222222222,5.618973822222222e6,2.52853822e7,6.59784270135969e6,5.665883695749441e6,8.131206017391385e6
adstock,UK,UK,channel_1,0.24242424242424243,6.129789624242424e6,2.52853822e7,7.197646583301481e6,6.180964031726662e6,8.870406564426964e6
adstock,UK,UK,channel_1,0.26262626262626265,6.640605426262626e6,2.52853822e7,7.797450465243272e6,6.696044367703886e6,9.609607111462545e6
adstock,UK,UK,channel_1,0.2828282828282828,7.151421228282828e6,2.52853822e7,8.39725434718506e6,7.211124703681106e6,1.0348807658498129e7
adstock,UK,UK,channel_1,0.30303030303030304,7.66223703030303e6,2.52853822e7,8.99705822912685e6,7.726205039658329e6,1.1088008205533708e7
adstock,UK,UK,channel_1,0.32323232323232326,8.173052832323233e6,2.52853822e7,9.596862111068642e6,8.241285375635552e6,1.182720875256929e7
adstock,UK,UK,channel_1,0.3434343434343434,8.683868634343434e6,2.52853822e7,1.019666599301043e7,8.756365711612772e6,1.2566409299604867e7
adstock,UK,UK,channel_1,0.36363636363636365,9.194684436363636e6,2.52853822e7,1.0796469874952221e7,9.271446047589991e6,1.3305609846640449e7
adstock,UK,UK,channel_1,0.3838383838383838,9.705500238383837e6,2.52853822e7,1.139627375689401e7,9.786526383567216e6,1.4044810393676028e7
adstock,UK,UK,channel_1,0.40404040404040403,1.021631604040404e7,2.52853822e7,1.19960776388358e7,1.0301606719544435e7,1.478401094071161e7
adstock,UK,UK,channel_1,0.42424242424242425,1.0727131842424242e7,2.52853822e7,1.259588152077759e7,1.081668705552166e7,1.5523211487747192e7
adstock,UK,UK,channel_1,0.4444444444444444,1.1237947644444443e7,2.52853822e7,1.319568540271938e7,1.1331767391498882e7,1.626241203478277e7
adstock,UK,UK,channel_1,0.46464646464646464,1.1748763446464647e7,2.52853822e7,1.3795489284661168e7,1.1846847727476101e7,1.700161258181835e7
adstock,UK,UK,channel_1,0.48484848484848486,1.2259579248484848e7,2.52853822e7,1.4395293166602962e7,1.2361928063453324e7,1.774081312885393e7
adstock,UK,UK,channel_1,0.5050505050505051,1.2770395050505051e7,2.52853822e7,1.499509704854475e7,1.2877008399430552e7,1.848001367588951e7
adstock,UK,UK,channel_1,0.5252525252525253,1.3281210852525253e7,2.52853822e7,1.5594900930486543e7,1.3392088735407772e7,1.921921422292509e7
adstock,UK,UK,channel_1,0.5454545454545454,1.3792026654545452e7,2.52853822e7,1.619470481242833e7,1.3907169071384989e7,1.995841476996067e7
adstock,UK,UK,channel_1,0.5656565656565656,1.4302842456565656e7,2.52853822e7,1.679450869437012e7,1.4422249407362211e7,2.0697615316996258e7
adstock,UK,UK,channel_1,0.5858585858585859,1.4813658258585857e7,2.52853822e7,1.7394312576311912e7,1.4937329743339434e7,2.1436815864031833e7
adstock,UK,UK,channel_1,0.6060606060606061,1.532447406060606e7,2.52853822e7,1.79941164582537e7,1.5452410079316659e7,2.2176016411067415e7
adstock,UK,UK,channel_1,0.6262626262626263,1.5835289862626264e7,2.52853822e7,1.8593920340195496e7,1.596749041529388e7,2.2915216958102994e7
adstock,UK,UK,channel_1,0.6464646464646465,1.6346105664646465e7,2.52853822e7,1.9193724222137284e7,1.6482570751271104e7,2.365441750513858e7
adstock,UK,UK,channel_1,0.6666666666666666,1.6856921466666665e7,2.52853822e7,1.9793528104079068e7,1.699765108724832e7,2.439361805217416e7
adstock,UK,UK,channel_1,0.6868686868686869,1.736773726868687e7,2.52853822e7,2.039333198602086e7,1.7512731423225544e7,2.5132818599209733e7
adstock,UK,UK,channel_1,0.7070707070707071,1.787855307070707e7,2.52853822e7,2.0993135867962655e7,1.802781175920277e7,2.5872019146245316e7
adstock,UK,UK,channel_1,0.7272727272727273,1.838936887272727e7,2.52853822e7,2.1592939749904443e7,1.8542892095179982e7,2.6611219693280898e7
adstock,UK,UK,channel_1,0.7474747474747475,1.8900184674747474e7,2.52853822e7,2.2192743631846234e7,1.9057972431157213e7,2.735042024031648e7
adstock,UK,UK,channel_1,0.7676767676767676,1.9411000476767674e7,2.52853822e7,2.279254751378802e7,1.957305276713443e7,2.8089620787352055e7
adstock,UK,UK,channel_1,0.7878787878787878,1.9921816278787877e7,2.52853822e7,2.339235139572981e7,2.008813310311166e7,2.882882133438764e7
adstock,UK,UK,channel_1,0.8080808080808081,2.043263208080808e7,2.52853822e7,2.39921552776716e7,2.060321343908887e7,2.956802188142322e7
adstock,UK,UK,channel_1,0.8282828282828283,2.0943447882828284e7,2.52853822e7,2.4591959159613393e7,2.1118293775066096e7,3.0307222428458795e7
adstock,UK,UK,channel_1,0.8484848484848485,2.1454263684848484e7,2.52853822e7,2.519176304155518e7,2.163337411104332e7,3.1046422975494385e7
adstock,UK,UK,channel_1,0.8686868686868687,2.1965079486868687e7,2.52853822e7,2.5791566923496973e7,2.2148454447020546e7,3.1785623522529963e7
adstock,UK,UK,channel_1,0.8888888888888888,2.2475895288888887e7,2.52853822e7,2.639137080543876e7,2.2663534782997765e7,3.252482406956554e7
adstock,UK,UK,channel_1,0.9090909090909091,2.298671109090909e7,2.52853822e7,2.699117468738055e7,2.317861511897499e7,3.3264024616601117e7
adstock,UK,UK,channel_1,0.9292929292929293,2.3497526892929293e7,2.52853822e7,2.7590978569322336e7,2.3693695454952203e7,3.40032251636367e7
adstock,UK,UK,channel_1,0.9494949494949495,2.4008342694949493e7,2.52853822e7,2.8190782451264128e7,2.420877579092943e7,3.474242571067228e7
