curve_family,panel_cell,geo,channel,delta,spend,observed_total_spend,mean,lower,upper
response,UK,UK,channel_1,0.0,0.0,2.52853822e7,0.0,0.0,0.0
response,UK,UK,channel_1,0.020202020202020204,510815.80202020204,2.52853822e7,319934.51315371675,171480.03127458133,494253.07512973266
response,UK,UK,channel_1,0.04040404040404041,1.0216316040404041e6,2.52853822e7,639263.4940711228,342829.57482735364,987665.8695973902
response,UK,UK,channel_1,0.06060606060606061,1.532447406060606e6,2.52853822e7,957393.9080214516,513918.968415414,1.4794101921836918e6
response,UK,UK,channel_1,0.08080808080808081,2.0432632080808082e6,2.52853822e7,1.2737568937038488e6,684620.1871586897,1.9686815790028267e6
response,UK,UK,channel_1,0.10101010101010101,2.55407901010101e6,2.52853822e7,1.5878179130098098e6,854807.6286567324,2.4547100599296247e6
response,UK,UK,channel_1,0.12121212121212122,3.064894812121212e6,2.52853822e7,1.8990848748557633e6,1.0243588589907112e6,2.9359365280512734e6
response,UK,UK,channel_1,0.1414141414141414,3.575710614141414e6,2.52853822e7,2.2071139786722837e6,1.1931553084481102e6,3.3928893282910353e6
response,UK,UK,channel_1,0.16161616161616163,4.0865264161616163e6,2.52853822e7,2.5115132600284177e6,1.3618675404334888e6,3.848406443234882e6
response,UK,UK,channel_1,0.18181818181818182,4.597342218181818e6,2.52853822e7,2.8119440124474876e6,1.531510874001362e6,4.306433358856614e6
response,UK,UK,channel_1,0.20202020202020202,5.10815802020202e6,2.52853822e7,3.1081203875289974e6,1.7009678247741517e6,4.757090584595122e6
response,UK,UK,channel_1,0.2222222222222222,5.618973822222222e6,2.52853822e7,3.3998075393096344e6,1.869226470526246e6,5.19992687559534e6
response,UK,UK,channel_1,0.24242424242424243,6.129789624242424e6,2.52853822e7,3.686818689361826e6,2.0273416272403619e6,5.631349312844736e6
response,UK,UK,channel_1,0.26262626262626265,6.640605426262626e6,2.52853822e7,3.9690114624265404e6,2.189226988066334e6,6.042665339157309e6
response,UK,UK,channel_1,0.2828282828282828,7.151421228282828e6,2.52853822e7,4.246283794210174e6,2.3451725731304726e6,6.45808772563847e6
response,UK,UK,channel_1,0.30303030303030304,7.66223703030303e6,2.52853822e7,4.518569656099887e6,2.503128366350556e6,6.868264371101351e6
response,UK,UK,channel_1,0.32323232323232326,8.173052832323233e6,2.52853822e7,4.785834784793318e6,2.6634730307503664e6,7.291159243636609e6
