curve_family,panel_cell,geo,channel,delta,spend,observed_total_spend,mean,lower,upper
saturation,UK,UK,channel_1,0.0,0.0,2.52853822e7,0.0,0.0,0.0
saturation,UK,UK,channel_1,0.020202020202020204,510815.80202020204,2.52853822e7,273107.51508011506,145405.79909248275,419000.8552373627
saturation,UK,UK,channel_1,0.04040404040404041,1.0216316040404041e6,2.52853822e7,545667.3580228058,290607.59556473576,836520.6836029495
saturation,UK,UK,channel_1,0.06060606060606061,1.532447406060606e6,2.52853822e7,817143.0316287153,435411.77047712414,1.251259661973925e6
saturation,UK,UK,channel_1,0.08080808080808081,2.0432632080808082e6,2.52853822e7,1.0870196615912928e6,580336.67696899,1.66386611075874e6
saturation,UK,UK,channel_1,0.10101010101010101,2.55407901010101e6,2.52853822e7,1.3548130934161535e6,725080.6718649312,2.0727335865574107e6
saturation,UK,UK,channel_1,0.12121212121212122,3.064894812121212e6,2.52853822e7,1.6200771944748561e6,869599.8801080274,2.4770482820815598e6
saturation,UK,UK,channel_1,0.1414141414141414,3.575710614141414e6,2.52853822e7,1.8824091333633228e6,1.0138512897323996e6,2.8728103479721015e6
saturation,UK,UK,channel_1,0.16161616161616163,4.0865264161616163e6,2.52853822e7,2.141452617498432e6,1.1577928881531951e6,3.2588341107262094e6
saturation,UK,UK,channel_1,0.18181818181818182,4.597342218181818e6,2.52853822e7,2.396899239069308e6,1.3007301570050358e6,3.6361969786739354e6
saturation,UK,UK,channel_1,0.20202020202020202,5.10815802020202e6,2.52853822e7,2.6484881930606198e6,1.4418170942625564e6,4.004395334058932e6
saturation,UK,UK,channel_1,0.2222222222222222,5.618973822222222e6,2.52853822e7,2.8960046883804444e6,1.581867580955401e6,4.362903944223242e6
saturation,UK,UK,channel_1,0.24242424242424243,6.129789624242424e6,2.52853822e7,3.1392773836834165e6,1.7208011926861121e6,4.717973317656784e6
saturation,UK,UK,channel_1,0.26262626262626265,6.640605426262626e6,2.52853822e7,3.3781751571829165e6,1.8585432164745359e6,5.070191760245447e6
saturation,UK,UK,channel_1,0.2828282828282828,7.151421228282828e6,2.52853822e7,3.612603478357427e6,1.995733821977705e6,5.391736623585258e6
saturation,UK,UK,channel_1,0.30303030303030304,7.66223703030303e6,2.52853822e7,3.842500600112731e6,2.132310645786803e6,5.738656053078397e6
saturation,UK,UK,channel_1,0.32323232323232326,8.173052832323233e6,2.52853822e7,4.067833740403211e6,2.2631093271967587e6,6.040784946672601e6
saturation,UK,UK,channel_1,0.3434343434343434,8.683868634343434e6,2.52853822e7,4.288595377163386e6,2.394765573971177e6,6.361138261172684e6
saturation,UK,UK,channel_1,0.36363636363636365,9.194684436363636e6,2.52853822e7,4.504799741884504e6,2.5251875040331143e6,6.674231279295018e6
saturation,UK,UK,channel_1,0.3838383838383838,9.705500238383837e6,2.52853822e7,4.716479565909646e6,2.653961256944025e6,6.988116656530622e6
saturation,UK,UK,channel_1,0.40404040404040403,1.021631604040404e7,2.52853822e7,4.923683109177304e6,2.7806150997835947e6,7.259720933048502e6
saturation,UK,UK,channel_1,0.42424242424242425,1.0727131842424242e7,2.52853822e7,5.126471482895067e6,2.905598958519215e6,7.547364619671329e6
saturation,UK,UK,channel_1,0.4444444444444444,1.1237947644444443e7,2.52853822e7,5.324916264470931e6,3.0298694146789717e6,7.811760838914556e6
saturation,UK,UK,channel_1,0.46464646464646464,1.1748763446464647e7,2.52853822e7,5.519097393968488e6,3.1525049176607854e6,8.068227304347025e6
saturation,UK,UK,channel_1,0.48484848484848486,1.2259579248484848e7,2.52853822e7,5.709101335476931e6,3.283099468531991e6,8.316541601310037e6
saturation,UK,UK,channel_1,0.5050505050505051,1.2770395050505051e7,2.52853822e7,5.895019483321617e6,3.414125621383491e6,8.556922643050734e6
saturation,UK,UK,channel_1,0.5252525252525253,1.3281210852525253e7,2.52853822e7,6.076946791349888e6,3.544504363526204e6,8.79021133271155e6
saturation,UK,UK,channel_1,0.5454545454545454,1.3792026654545452e7,2.52853822e7,6.254980603103496e6,3.6742199949894794e6,9.0455246985499e6
