feature,mode,holiday,country,date,year
holiday,auto,New Year's Day,UK,1995-01-01,1995
holiday,auto,New Year Holiday [Scotland],UK,1995-01-02,1995
holiday,auto,New Year's Day (Observed),UK,1995-01-02,1995
holiday,auto,New Year Holiday [Scotland] (Observed),UK,1995-01-03,1995
holiday,auto,St. Patrick's Day [Northern Ireland],UK,1995-03-17,1995
holiday,auto,Good Friday,UK,1995-04-14,1995
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,1995-04-17,1995
holiday,auto,May Day,UK,1995-05-08,1995
holiday,auto,Spring Bank Holiday,UK,1995-05-29,1995
holiday,auto,Battle of the Boyne [Northern Ireland],UK,1995-07-12,1995
holiday,auto,Summer Bank Holiday [Scotland],UK,1995-08-07,1995
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,1995-08-28,1995
holiday,auto,St. Andrew's Day [Scotland],UK,1995-11-30,1995
holiday,auto,Christmas Day,UK,1995-12-25,1995
holiday,auto,Boxing Day,UK,1995-12-26,1995
holiday,auto,New Year's Day,UK,1996-01-01,1996
holiday,auto,New Year Holiday [Scotland],UK,1996-01-02,1996
holiday,auto,St. Patrick's Day [Northern Ireland],UK,1996-03-17,1996
holiday,auto,St. Patrick's Day [Northern Ireland] (Observed),UK,1996-03-18,1996
holiday,auto,Good Friday,UK,1996-04-05,1996
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,1996-04-08,1996
holiday,auto,May Day,UK,1996-05-06,1996
holiday,auto,Spring Bank Holiday,UK,1996-05-27,1996
holiday,auto,Battle of the Boyne [Northern Ireland],UK,1996-07-12,1996
holiday,auto,Summer Bank Holiday [Scotland],UK,1996-08-05,1996
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,1996-08-26,1996
holiday,auto,St. Andrew's Day [Scotland],UK,1996-11-30,1996
holiday,auto,Christmas Day,UK,1996-12-25,1996
holiday,auto,Boxing Day,UK,1996-12-26,1996
holiday,auto,New Year's Day,UK,1997-01-01,1997
holiday,auto,New Year Holiday [Scotland],UK,1997-01-02,1997
holiday,auto,St. Patrick's Day [Northern Ireland],UK,1997-03-17,1997
holiday,auto,Good Friday,UK,1997-03-28,1997
holiday,auto,Easter Monday [England/Wales/Northern Ireland],UK,1997-03-31,1997
holiday,auto,May Day,UK,1997-05-05,1997
holiday,auto,Spring Bank Holiday,UK,1997-05-26,1997
holiday,auto,Battle of the Boyne [Northern Ireland],UK,1997-07-12,1997
holiday,auto,Summer Bank Holiday [Scotland],UK,1997-08-04,1997
holiday,auto,Late Summer Bank Holiday [England/Wales/Northern Ireland],UK,1997-08-25,1997
holiday,auto,St. Andrew's Day [Scotland],UK,1997-11-30,1997
holiday,auto,Christmas Day,UK,1997-12-25,1997
holiday,auto,Boxing Day,UK,1997-12-26,1997
holiday,auto,New Year's Day,UK,1998-01-01,1998
holiday,auto,New Year Holiday [Scotland],UK,1998-01-02,1998
holiday,auto,St. Patrick's Day [Northern Ireland],UK,1998-03-17,1998
holiday,auto,Good Friday,UK,1998-04-10,1998
