parameter,mean,sd,median,q05,q95,rhat,ess_bulk,ess_tail
intercept,0.4018873465214293,0.02288832243684725,0.40328281140769073,0.36018461381682576,0.4355969954343626,1.0114652355478888,259.22205984782545,300.547098324088
sigma,0.0736322666740799,0.005684205765161817,0.07331020213066372,0.06545067343909303,0.0836962113169367,1.0042580631926212,437.0944738286731,356.1286918168185
beta_media[1],0.17531893133395046,0.11436346581866032,0.14818385039907733,0.08722395712277184,0.34137489088712547,0.9987788589951959,226.34447375430454,203.8053653101237
beta_media[2],0.09580998331238111,0.13238253840971698,0.05614749066578317,0.010192615534095756,0.3134822471880103,1.010652314932482,217.7637346570178,235.39609591248913
beta_media[3],0.09942440594314937,0.12216541239516142,0.06618261543660643,0.009680558008057071,0.32573053347608505,1.0028318578099908,260.93812756858136,223.89026530076924
beta_media[4],0.16078224056144827,0.15830328445865316,0.1196610178903181,0.029559936620169012,0.4082860849934592,1.002124801485805,322.84563211307017,170.12352287279194
beta_media[5],0.04591964648644063,0.062492673187581414,0.027262578421442748,0.0020992208249206615,0.12918048758860443,1.0038786209029202,361.9960934509408,299.87282014599987
beta_media[6],0.04797722085505638,0.06510107892208551,0.031208165014746506,0.0025315195621412926,0.13725656924990962,1.0124278374122122,434.83202594169364,389.54660484640937
alpha[1],0.14868677623008325,0.11079628838802902,0.13091212649266293,0.015341696617119833,0.3552377998318965,1.0019387769102979,445.45547722381514,251.5509764312851
alpha[2],0.3498613259180432,0.19411315022400288,0.35399044220273634,0.029818201024608436,0.6751049919585167,1.00331272914103,289.21448268394306,177.50554918443936
alpha[3],0.1707059221937599,0.15652123580056623,0.12518089860478587,0.00859784764919812,0.4826038500402349,1.000384425383643,658.2662225770163,222.89534589200662
alpha[4],0.1671073614359628,0.1308145107414162,0.13935156573634744,0.012580239844263,0.42027836832914345,1.0027167034975772,398.2659544025711,269.1185008072847
alpha[5],0.26611277775706066,0.2087375842125961,0.21242528137530203,0.019528787777677727,0.6495408642616864,1.004530259202821,474.7963378174569,217.26501198875758
alpha[6],0.25839478793804,0.21373832034485732,0.20668956377715425,0.013077739147805299,0.6806768556735407,0.9987171575450974,727.3864453811234,319.9222460383314
lam[1],3.6356276072062057,1.8593621632220616,3.490111321249997,0.7776367228176679,6.929614318004522,1.0066055078048934,290.4876661229416,187.34307506196373
lam[2],2.5264770331755773,1.8448987807836417,2.161057145684131,0.3584519328572773,6.111442297538769,1.007371701236105,423.1442732463394,377.76485842927536
lam[3],2.263566949729985,1.6762770716046091,1.8077423066706053,0.45736851009949847,5.654494062451462,1.0057148209860252,393.68815616836343,247.6199685463126
lam[4],2.2597325154233423,1.444033617582015,1.9910923249741708,0.4707873451949284,5.1559266379159885,0.9998343258221656,381.07058389647113,298.01125667721675
lam[5],2.2627409678242185,1.6758583996615573,1.8543076293448877,0.4189730663216698,5.4793809923565355,1.004569175270252,420.3548779463426,286.83468045320154
lam[6],2.2141260110809595,1.562924222720065,1.8650727047447102,0.42080798541491643,5.369852284878314,1.0011413195198402,494.2323886152539,397.40130357107466
beta_holidays[1],-0.16242828354784597,0.09993512082480943,-0.15963001871229232,-0.3229854011301978,0.010898108371507313,1.000989157854935,706.9538251643069,228.33939409763857
beta_seasonality[1],0.11662459867211618,0.012452040086468212,0.11640714825672982,0.09621795801561235,0.13730170435085584,1.0036200870505905,369.1415108758514,313.72696226760615
beta_seasonality[2],0.012976443549476692,0.010370826198100173,0.012639738482583908,-0.004277638939094877,0.030789070357812025,1.0005623910373713,770.6401001368431,406.6480210265866
beta_seasonality[3],0.14411108548810223,0.014381553741573211,0.1453875507928436,0.11884471487115716,0.16636512602572823,1.0131756316765232,342.2848550846124,330.61157494545125
beta_seasonality[4],0.027661767079989765,0.010647247708772387,0.027398228123686592,0.009625500127564053,0.04494652870989942,0.9970647392469181,655.9146324596148,421.8865829776063
