observation,date,component,mean,lower_5,upper_95
1,2023-02-06,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
1,2023-02-06,holiday,0.0,0.0,0.0
1,2023-02-06,seasonality,752865.5046333296,644767.7285617273,868480.9201974911
2,2023-02-13,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
2,2023-02-13,holiday,0.0,0.0,0.0
2,2023-02-13,seasonality,729607.3969003058,622098.0530217019,838101.1819432642
3,2023-02-20,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
3,2023-02-20,holiday,0.0,0.0,0.0
3,2023-02-20,seasonality,693483.4058306137,591076.6439459005,805370.2289856693
4,2023-02-27,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
4,2023-02-27,holiday,0.0,0.0,0.0
4,2023-02-27,seasonality,646097.4125897853,550601.4897636708,753225.3760240664
5,2023-03-06,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
5,2023-03-06,holiday,0.0,0.0,0.0
5,2023-03-06,seasonality,589286.7342805517,491419.641136995,690167.765552644
6,2023-03-13,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
6,2023-03-13,holiday,-84913.44593172519,-168848.69307583914,5697.258603914735
6,2023-03-13,seasonality,525029.075271656,431788.5349615086,627375.4207468906
7,2023-03-20,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
7,2023-03-20,holiday,0.0,0.0,0.0
7,2023-03-20,seasonality,455347.2206805603,361888.50442226784,557300.2966427765
8,2023-03-27,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
8,2023-03-27,holiday,0.0,0.0,0.0
8,2023-03-27,seasonality,382216.7002310627,285499.10410468985,482831.146875863
9,2023-04-03,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
9,2023-04-03,holiday,-84913.44593172519,-168848.69307583914,5697.258603914735
9,2023-04-03,seasonality,307481.3985484299,213722.1710973047,403946.28296592657
10,2023-04-10,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
10,2023-04-10,holiday,-84913.44593172519,-168848.69307583914,5697.258603914735
10,2023-04-10,seasonality,232781.55369438612,140702.08248593536,322616.770545116
11,2023-04-17,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
11,2023-04-17,holiday,0.0,0.0,0.0
11,2023-04-17,seasonality,159497.80131497528,68236.06691967328,248125.5943093124
12,2023-04-24,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
12,2023-04-24,holiday,0.0,0.0,0.0
12,2023-04-24,seasonality,88713.93345872236,-4529.376164299128,177611.61488390176
13,2023-05-01,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
13,2023-05-01,holiday,-84913.44593172519,-168848.69307583914,5697.258603914735
13,2023-05-01,seasonality,21199.9068674093,-75428.27730628115,107213.81616421643
14,2023-05-08,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
14,2023-05-08,holiday,0.0,0.0,0.0
14,2023-05-08,seasonality,-42584.57839991122,-137003.9921168035,46420.53742771946
15,2023-05-15,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
15,2023-05-15,holiday,0.0,0.0,0.0
15,2023-05-15,seasonality,-102466.83205372981,-200160.5888823383,-10071.922485582065
16,2023-05-22,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
16,2023-05-22,holiday,0.0,0.0,0.0
16,2023-05-22,seasonality,-158520.32118094224,-256624.89935645674,-63226.92779473692
17,2023-05-29,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
17,2023-05-29,holiday,-84913.44593172519,-168848.69307583914,5697.258603914735
17,2023-05-29,seasonality,-211009.30643674644,-305121.8658102639,-110328.20484598643
18,2023-06-05,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
18,2023-06-05,holiday,0.0,0.0,0.0
18,2023-06-05,seasonality,-260322.90288970273,-358684.8100589246,-159272.70988937307
19,2023-06-12,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
19,2023-06-12,holiday,0.0,0.0,0.0
19,2023-06-12,seasonality,-306903.1056736404,-408895.96337426046,-203861.4987579142
20,2023-06-19,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
20,2023-06-19,holiday,0.0,0.0,0.0
20,2023-06-19,seasonality,-351171.6519913285,-453689.046959971,-248822.1896234745
21,2023-06-26,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
21,2023-06-26,holiday,0.0,0.0,0.0
21,2023-06-26,seasonality,-393460.63082913286,-497789.27872964327,-285728.68094022275
22,2023-07-03,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
22,2023-07-03,holiday,0.0,0.0,0.0
22,2023-07-03,seasonality,-433951.49807730835,-534537.2576040357,-328001.4661648746
23,2023-07-10,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
23,2023-07-10,holiday,-84913.44593172519,-168848.69307583914,5697.258603914735
23,2023-07-10,seasonality,-472626.6227897476,-571568.1332323015,-360492.80693038215
24,2023-07-17,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
24,2023-07-17,holiday,0.0,0.0,0.0
24,2023-07-17,seasonality,-509236.7114429823,-607955.6886157653,-398569.61732141813
25,2023-07-24,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
25,2023-07-24,holiday,0.0,0.0,0.0
25,2023-07-24,seasonality,-543286.4770292556,-645480.5627252071,-432836.1921208463
26,2023-07-31,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
26,2023-07-31,holiday,0.0,0.0,0.0
26,2023-07-31,seasonality,-574039.796130784,-675562.0183530652,-464676.42558677355
27,2023-08-07,intercept,1.4706766030441818e6,1.318068580416638e6,1.5940345350173924e6
27,2023-08-07,holiday,-84913.44593172519,-168848.69307583914,5697.258603914735
27,2023-08-07,seasonality,-600544.3956546114,-704526.5183384982,-487823.35361096176
