curve_family,channel,spend,spend_share,observed_total_spend,mean,lower,upper
response,channel_1,0.0,0.0,2.52853822e7,0.0,0.0,0.0
response,channel_1,255407.901010101,0.0101010101010101,2.52853822e7,132733.23218199852,62401.56799261179,235240.05149143704
response,channel_1,510815.802020202,0.0202020202020202,2.52853822e7,265423.8016496256,124802.6297871859,470314.0829172865
response,channel_1,766223.703030303,0.030303030303030304,2.52853822e7,398029.24058292573,187202.67922065035,705056.9888107724
response,channel_1,1.021631604040404e6,0.0404040404040404,2.52853822e7,530507.4677775669,249601.21019985765,939305.4796429302
response,channel_1,1.277039505050505e6,0.050505050505050504,2.52853822e7,662816.9741383836,311997.71673653164,1.17289895700979e6
response,channel_1,1.532447406060606e6,0.06060606060606061,2.52853822e7,794916.9991201895,374391.6929821949,1.4056803504947126e6
response,channel_1,1.787855307070707e6,0.0707070707070707,2.52853822e7,926767.6956154476,436782.6332630709,1.6374969050708765e6
response,channel_1,2.043263208080808e6,0.0808080808080808,2.52853822e7,1.0583302811873446e6,499170.0321149542,1.8682009092204147e6
response,channel_1,2.298671109090909e6,0.0909090909090909,2.52853822e7,1.1895671739955854e6,561553.3843180443,2.0980525867142193e6
response,channel_1,2.55407901010101e6,0.10101010101010101,2.52853822e7,1.3204421122351985e6,623932.1849317318,2.328416809206455e6
response,channel_1,2.809486911111111e6,0.1111111111111111,2.52853822e7,1.4509202563811226e6,686305.9293293379,2.5579330096609555e6
response,channel_1,3.064894812121212e6,0.12121212121212122,2.52853822e7,1.5809682739816287e6,748674.1132327951,2.7863952877672627e6
response,channel_1,3.320302713131313e6,0.13131313131313133,2.52853822e7,1.7105544071539561e6,811036.2327472646,3.0133226285812105e6
response,channel_1,3.575710614141414e6,0.1414141414141414,2.52853822e7,1.8396485232932253e6,873391.7843956847,3.2326324015272064e6
response,channel_1,3.831118515151515e6,0.15151515151515152,2.52853822e7,1.9682221498027747e6,935740.2651532462,3.448255945305233e6
response,channel_1,4.086526416161616e6,0.1616161616161616,2.52853822e7,2.0962484938874613e6,998081.1724817806,3.670887654451165e6
response,channel_1,4.341934317171717e6,0.1717171717171717,2.52853822e7,2.2237024486219017e6,1.060414004364068e6,3.892200319555908e6
response,channel_1,4.597342218181818e6,0.1818181818181818,2.52853822e7,2.3505605866170176e6,1.122738259338043e6,4.1121359424339277e6
response,channel_1,4.852750119191919e6,0.19191919191919193,2.52853822e7,2.476801142666736e6,1.1850534365309086e6,4.331170539672105e6
response,channel_1,5.10815802020202e6,0.20202020202020202,2.52853822e7,2.602403986769622e6,1.2473590356931365e6,4.551491306291705e6
response,channel_1,5.363565921212121e6,0.21212121212121213,2.52853822e7,2.7273505888958205e6,1.3096545572323625e6,4.7707109787444705e6
response,channel_1,5.618973822222222e6,0.2222222222222222,2.52853822e7,2.8516239768156186e6,1.371939502247159e6,4.988791487390876e6
response,channel_1,5.874381723232323e6,0.23232323232323232,2.52853822e7,2.9752086882301387e6,1.4333795615544443e6,5.2056968070813045e6
response,channel_1,6.129789624242424e6,0.24242424242424243,2.52853822e7,3.098090718353526e6,1.4945158841199714e6,5.42139296602855e6
response,channel_1,6.385197525252525e6,0.2525252525252525,2.52853822e7,3.2202574639956164e6,1.555506114490385e6,5.635848046888515e6
response,channel_1,6.640605426262626e6,0.26262626262626265,2.52853822e7,3.3416976650891746e6,1.6169018296816715e6,5.849003068677707e6
response,channel_1,6.896013327272727e6,0.2727272727272727,2.52853822e7,3.4624013445002898e6,1.6789935274765617e6,6.043050862767151e6
response,channel_1,7.151421228282828e6,0.2828282828282828,2.52853822e7,3.5823597468575006e6,1.7410746366250399e6,6.232234986485535e6
response,channel_1,7.406829129292929e6,0.29292929292929293,2.52853822e7,3.7015652770367255e6,1.8031448306791196e6,6.426973047182134e6
response,channel_1,7.66223703030303e6,0.30303030303030304,2.52853822e7,3.8200114388468466e6,1.8652037895252104e6,6.626122105624877e6
response,channel_1,7.917644931313131e6,0.31313131313131315,2.52853822e7,3.937692774375542e6,1.9272511994763564e6,6.8166335317029925e6
response,channel_1,8.173052832323232e6,0.3232323232323232,2.52853822e7,4.0546048043774776e6,1.9892867533537457e6,7.01690711288954e6
response,channel_1,8.428460733333332e6,0.3333333333333333,2.52853822e7,4.1707439700171035e6,2.0513101505575883e6,7.214967007144801e6
response,channel_1,8.683868634343434e6,0.3434343434343434,2.52853822e7,4.286107576216271e6,2.113356603769124e6,7.401107842012601e6
response,channel_1,8.939276535353536e6,0.35353535353535354,2.52853822e7,4.400693736802074e6,2.1754755855304673e6,7.582523927851501e6
response,channel_1,9.194684436363636e6,0.3636363636363636,2.52853822e7,4.514501321602608e6,2.237591218623158e6,7.761657640015388e6
response,channel_1,9.450092337373737e6,0.37373737373737376,2.52853822e7,4.627529905596926e6,2.299703408061246e6,7.945516319135865e6
response,channel_1,9.705500238383839e6,0.38383838383838387,2.52853822e7,4.739779720190103e6,2.3618120589167536e6,8.136344805158778e6
response,channel_1,9.960908139393939e6,0.3939393939393939,2.52853822e7,4.851251606654142e6,2.4239170763212284e6,8.32545552745902e6
response,channel_1,1.021631604040404e7,0.40404040404040403,2.52853822e7,4.961946971750144e6,2.4860183654673086e6,8.512944279007185e6
response,channel_1,1.0471723941414142e7,0.4141414141414142,2.52853822e7,5.071867745526036e6,2.547597302226123e6,8.69261856921083e6
response,channel_1,1.0727131842424242e7,0.42424242424242425,2.52853822e7,5.181016341266817e6,2.6080003644266934e6,8.866022942478696e6
response,channel_1,1.0982539743434343e7,0.43434343434343436,2.52853822e7,5.289395617560063e6,2.668283976499817e6,9.03715716980874e6
response,channel_1,1.1237947644444443e7,0.4444444444444444,2.52853822e7,5.397008842428249e6,2.7284459536722666e6,9.206365515064329e6
response,channel_1,1.1493355545454545e7,0.45454545454545453,2.52853822e7,5.50385965947049e6,2.7884841517766397e6,9.373677167650646e6
response,channel_1,1.1748763446464647e7,0.46464646464646464,2.52853822e7,5.609952055949598e6,2.8483964675811417e6,9.551290554183003e6
response,channel_1,1.2004171347474746e7,0.4747474747474747,2.52853822e7,5.715290332755298e6,2.9081808390878616e6,9.73017063622425e6
response,channel_1,1.2259579248484848e7,0.48484848484848486,2.52853822e7,5.819879076171065e6,2.967835245799784e6,9.9076386128981e6
response,channel_1,1.251498714949495e7,0.494949494949495,2.52853822e7,5.923723131369635e6,3.0273577089568847e6,1.0082699528869024e7
response,channel_1,1.277039505050505e7,0.505050505050505,2.52853822e7,6.026827577561325e6,3.086099340271233e6,1.0247571012126846e7
response,channel_1,1.3025802951515151e7,0.5151515151515151,2.52853822e7,6.129197704718707e6,3.1435484673939636e6,1.0410795066169642e7
response,channel_1,1.3281210852525253e7,0.5252525252525253,2.52853822e7,6.230838991801862e6,3.202282713333783e6,1.0572389951298468e7
response,channel_1,1.3536618753535353e7,0.5353535353535354,2.52853822e7,6.331757086409254e6,3.2633264069585484e6,1.073237436344741e7
response,channel_1,1.3792026654545454e7,0.5454545454545454,2.52853822e7,6.431957785780781e6,3.3223810605327296e6,1.0890767369634463e7
response,channel_1,1.4047434555555556e7,0.5555555555555556,2.52853822e7,6.531447019081378e6,3.380826362483928e6,1.1047588347646756e7
response,channel_1,1.4302842456565656e7,0.5656565656565656,2.52853822e7,6.630230830895649e6,3.439116033430217e6,1.1202856929814404e7
response,channel_1,1.4558250357575757e7,0.5757575757575758,2.52853822e7,6.728315365866294e6,3.4972483838218176e6,1.1356592950718703e7
response,channel_1,1.4813658258585857e7,0.5858585858585859,2.52853822e7,6.825706854411553e6,3.555221771703911e6,1.150881639867373e7
response,channel_1,1.5069066159595959e7,0.5959595959595959,2.52853822e7,6.9224115994594935e6,3.6131697870964166e6,1.1659547370816423e7
response,channel_1,1.532447406060606e7,0.6060606060606061,2.52853822e7,7.01843596413951e6,3.671078321025699e6,1.1808745435159625e7
response,channel_1,1.557988196161616e7,0.6161616161616161,2.52853822e7,7.11378636037411e6,3.728833763854586e6,1.195604696506631e7
response,channel_1,1.5835289862626262e7,0.6262626262626263,2.52853822e7,7.208469238316704e6,3.7864346775798188e6,1.210190919836617e7
response,channel_1,1.6090697763636364e7,0.6363636363636364,2.52853822e7,7.302491076583651e6,3.8395368619071865e6,1.2246352720620802e7
response,channel_1,1.6346105664646463e7,0.6464646464646464,2.52853822e7,7.395858373231522e6,3.89615207704309e6,1.2389398034908347e7
response,channel_1,1.6601513565656565e7,0.6565656565656566,2.52853822e7,7.48857763743292e6,3.955435098035617e6,1.2531065535084302e7
response,channel_1,1.6856921466666665e7,0.6666666666666666,2.52853822e7,7.580655381806756e6,4.013104754791819e6,1.2670708380751029e7
response,channel_1,1.711232936767677e7,0.6767676767676768,2.52853822e7,7.672098115361186e6,4.069581351366136e6,1.280845473329913e7
response,channel_1,1.736773726868687e7,0.6868686868686869,2.52853822e7,7.762912337009739e6,4.1258851382447e6,1.2944881156279046e7
response,channel_1,1.7623145169696968e7,0.6969696969696969,2.52853822e7,7.853104529623344e6,4.182014981662484e6,1.3080007923399862e7
response,channel_1,1.787855307070707e7,0.7070707070707071,2.52853822e7,7.94268115458312e6,4.237140257115225e6,1.3213855061700182e7
response,channel_1,1.813396097171717e7,0.7171717171717171,2.52853822e7,8.031648646800756e6,4.278717793857596e6,1.3346442340009078e7
response,channel_1,1.838936887272727e7,0.7272727272727272,2.52853822e7,8.120013410175319e6,4.319887485259295e6,1.3477789258969694e7
response,channel_1,1.8644776773737375e7,0.7373737373737375,2.52853822e7,8.207781813457075e6,4.360655772594294e6,1.3597013589593606e7
response,channel_1,1.8900184674747474e7,0.7474747474747475,2.52853822e7,8.294960186490773e6,4.401028984116657e6,1.3706547733091732e7
response,channel_1,1.9155592575757574e7,0.7575757575757576,2.52853822e7,8.381554816812408e6,4.444874772917659e6,1.3814903672575766e7
response,channel_1,1.9411000476767678e7,0.7676767676767677,2.52853822e7,8.467571946575092e6,4.495403760730065e6,1.3922105069636688e7
response,channel_1,1.9666408377777778e7,0.7777777777777778,2.52853822e7,8.553017769781196e6,4.5456780722521115e6,1.4028174877489617e7
response,channel_1,1.9921816278787877e7,0.7878787878787878,2.52853822e7,8.637898429799322e6,4.5964770362403765e6,1.4133135365715677e7
response,channel_1,2.017722417979798e7,0.797979797979798,2.52853822e7,8.722220017145906e6,4.647195086946798e6,1.4237008144297652e7
response,channel_1,2.043263208080808e7,0.8080808080808081,2.52853822e7,8.805988567512736e6,4.69767572007546e6,1.4339814186937882e7
response,channel_1,2.068803998181818e7,0.8181818181818181,2.52853822e7,8.8892100600226e6,4.7479194212217815e6,1.4441573853652151e7
response,channel_1,2.0943447882828284e7,0.8282828282828284,2.52853822e7,8.971890415696656e6,4.799285869634249e6,1.4542306912638111e7
response,channel_1,2.1198855783838384e7,0.8383838383838385,2.52853822e7,9.054035496117907e6,4.855551628120095e6,1.467509534252968e7
response,channel_1,2.1454263684848484e7,0.8484848484848485,2.52853822e7,9.135651102276485e6,4.911742850096439e6,1.4847866016449455e7
response,channel_1,2.1709671585858583e7,0.8585858585858586,2.52853822e7,9.216742973583063e6,4.967859013117115e6,1.5020284819553727e7
response,channel_1,2.1965079486868687e7,0.8686868686868687,2.52853822e7,9.297316787037807e6,5.023899602834021e6,1.518251885584037e7
response,channel_1,2.2220487387878787e7,0.8787878787878788,2.52853822e7,9.377378156543043e6,5.079864112926379e6,1.5276757133345839e7
response,channel_1,2.2475895288888887e7,0.8888888888888888,2.52853822e7,9.456932632348625e6,5.135752045030531e6,1.5369098035116874e7
