curve_family,channel,spend,spend_share,observed_total_spend,mean,lower,upper
saturation,channel_1,0.0,0.0,2.52853822e7,0.0,0.0,0.0
saturation,channel_1,255407.901010101,0.0101010101010101,2.52853822e7,111802.50485024237,53391.47993612063,193995.17101987498
saturation,channel_1,510815.802020202,0.0202020202020202,2.52853822e7,223567.0393038548,106761.36784956713,387831.93053177465
saturation,channel_1,766223.703030303,0.030303030303030304,2.52853822e7,335255.8045360816,160127.68850919325,581462.0531179372
saturation,channel_1,1.021631604040404e6,0.0404040404040404,2.52853822e7,446831.3420786886,213476.79609030357,774750.6124318148
saturation,channel_1,1.277039505050505e6,0.050505050505050504,2.52853822e7,558256.6971355024,266802.9907915151,967586.1488931283
saturation,channel_1,1.532447406060606e6,0.06060606060606061,2.52853822e7,669495.5739503193,320100.6049437899,1.1598561109374515e6
saturation,channel_1,1.787855307070707e6,0.0707070707070707,2.52853822e7,780512.4810361761,373364.0106182537,1.3513854063624486e6
saturation,channel_1,2.043263208080808e6,0.0808080808080808,2.52853822e7,891272.8644277761,426587.6269615902,1.5417149994049075e6
saturation,channel_1,2.298671109090909e6,0.0909090909090909,2.52853822e7,1.0017432275149667e6,479765.9272151664,1.7299703055624454e6
saturation,channel_1,2.55407901010101e6,0.10101010101010101,2.52853822e7,1.1118912364316776e6,532930.7269292726,1.9173447578589714e6
saturation,channel_1,2.809486911111111e6,0.1111111111111111,2.52853822e7,1.2216858103896957e6,586050.9785963655,2.1055615005018874e6
saturation,channel_1,3.064894812121212e6,0.12121212121212122,2.52853822e7,1.3310971967408839e6,639122.1485131517,2.2879332868900476e6
saturation,channel_1,3.320302713131313e6,0.13131313131313133,2.52853822e7,1.4400970309094482e6,692139.9080347851,2.466594617442374e6
saturation,channel_1,3.575710614141414e6,0.1414141414141414,2.52853822e7,1.5486583816466557e6,745099.9626538575,2.6461712266852786e6
saturation,channel_1,3.831118515151515e6,0.15151515151515152,2.52853822e7,1.656755782317378e6,797998.0545812269,2.8236495499455747e6
saturation,channel_1,4.086526416161616e6,0.1616161616161616,2.52853822e7,1.7643652491286164e6,850829.9652661121,2.998963706340517e6
saturation,channel_1,4.341934317171717e6,0.1717171717171717,2.52853822e7,1.8714642873557883e6,903591.5178517635,3.1720661381713287e6
saturation,channel_1,4.597342218181818e6,0.1818181818181818,2.52853822e7,1.9780318867167842e6,956278.5795632032,3.342896416011003e6
